                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.78879,                0.67945,                 1.1068,                0.87311,                0.91667,                0.94746,                0.81246,                0.56731,                0.66949,                0.96355,             0.00057778,             0.00057778,             0.00057778
                     35,                0.80496,                0.67346,                  1.115,                0.85936,                0.91667,                0.94759,                0.83777,                 0.5167,                0.78731,                0.93788,             0.00054478,             0.00054478,             0.00054478
                     36,                0.78155,                0.68817,                 1.1053,                0.92959,                0.83333,                0.95441,                0.82691,                0.56514,                 0.7092,                0.97417,             0.00051177,             0.00051177,             0.00051177
                     37,                0.81334,                0.68555,                 1.1305,                0.89658,                0.87387,                0.93788,                0.80529,                0.58339,                0.81598,                      1,             0.00047876,             0.00047876,             0.00047876
                     38,                0.77256,                0.65761,                 1.0964,                0.94108,                0.91005,                0.94338,                0.80521,                0.59826,                 0.5876,                 1.0037,             0.00044576,             0.00044576,             0.00044576
                     39,                0.81384,                0.68346,                 1.1199,                 0.9681,                0.88889,                 0.9589,                0.84343,                0.50437,                0.56025,                0.93341,             0.00041275,             0.00041275,             0.00041275
                     40,                0.55312,                0.47057,                0.95587,                0.93691,                0.89636,                0.95493,                0.84732,                0.48768,                0.71015,                0.94229,             0.00037974,             0.00037974,             0.00037974
                     41,                0.52231,                0.43412,                0.95422,                0.95547,                0.87944,                0.96026,                 0.8262,                  0.493,                0.67634,                 0.9346,             0.00034674,             0.00034674,             0.00034674
                     42,                0.52748,                0.41566,                0.94571,                 0.9332,                0.92796,                0.95351,                 0.8032,                0.50863,                0.57757,                0.94536,             0.00031373,             0.00031373,             0.00031373
                     43,                0.50554,                0.40646,                0.92626,                0.92931,                0.91589,                0.95181,                0.81485,                0.49134,                 0.5187,                 0.9404,             0.00028072,             0.00028072,             0.00028072
                     44,                0.48121,                0.38737,                0.91493,                0.94367,                0.94268,                0.96558,                0.83746,                 0.5234,                 0.5248,                 0.9634,             0.00024772,             0.00024772,             0.00024772
                     45,                0.47936,                0.37485,                0.91182,                0.91686,                0.93669,                 0.9638,                0.86199,                0.49217,                0.56257,                0.94897,             0.00021471,             0.00021471,             0.00021471
                     46,                 0.4505,                0.35639,                0.90286,                0.97825,                0.91378,                 0.9715,                0.87487,                0.46101,                 0.5943,                0.92454,              0.0001817,              0.0001817,              0.0001817
                     47,                0.47127,                0.35962,                0.90213,                 0.9098,                0.91341,                0.96642,                0.84987,                0.46354,                0.71176,                 0.9312,              0.0001487,              0.0001487,              0.0001487
                     48,                0.45587,                 0.3486,                0.89907,                0.95719,                0.86111,                0.96602,                0.86015,                0.45331,                0.71093,                0.91424,             0.00011569,             0.00011569,             0.00011569
                     49,                0.43524,                0.34631,                0.89624,                0.88727,                0.94199,                0.97037,                0.86029,                0.43514,                 0.6354,                0.90639,             8.2683e-05,             8.2683e-05,             8.2683e-05
