                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5604,                 1.7989,                 2.1137,                0.56392,                  0.607,                0.61442,                0.37421,                 1.5165,                 1.8309,                 2.2319,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.5608,                 1.6962,                 2.1299,                 0.6905,                0.61111,                0.68434,                0.36654,                 1.6091,                  1.836,                 2.3072,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.5364,                 1.7524,                 2.0821,                0.65437,                0.63243,                0.68644,                  0.393,                 1.4694,                 1.8108,                 2.0658,              0.0010894,              0.0010894,              0.0010894
                     37,                  1.528,                 1.7021,                 2.0785,                0.66864,                0.58333,                0.67402,                0.41789,                 1.4419,                 1.6917,                 2.1246,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.5458,                 1.7417,                 2.1066,                0.67343,                  0.625,                0.67365,                 0.3752,                 1.5402,                 1.6872,                 2.2414,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.5186,                 1.7121,                 2.0692,                0.68996,                0.61111,                0.71731,                0.44225,                  1.452,                 1.5841,                 2.1244,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.4657,                 1.5704,                 2.0348,                0.79706,                0.65278,                0.75189,                0.47797,                 1.3796,                  1.448,                 2.0532,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.4256,                  1.607,                 1.9921,                 0.6907,                0.72266,                0.76443,                 0.4833,                 1.2861,                 1.5721,                  1.979,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.4446,                 1.6582,                 2.0029,                0.67753,                 0.7213,                0.72017,                0.43444,                 1.4423,                 1.6055,                  2.121,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.4419,                 1.6196,                 1.9874,                0.75894,                0.66667,                0.74225,                 0.4345,                 1.5929,                 1.6781,                 2.2742,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.4385,                 1.5594,                 2.0237,                0.68953,                0.68056,                0.71054,                0.47238,                 1.2567,                 1.5161,                 1.9217,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.4124,                 1.5723,                 1.9636,                0.71622,                0.68056,                0.76495,                0.48839,                 1.2449,                 1.4303,                 1.8996,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.4246,                 1.6103,                 2.0047,                  0.773,                0.74542,                0.78788,                0.49532,                 1.2682,                 1.4877,                 1.8911,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.3878,                 1.5321,                 1.9392,                0.83741,                0.65675,                0.77659,                0.51218,                 1.2824,                 1.3745,                 1.9561,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.3764,                 1.5441,                 1.9664,                 0.7616,                0.65278,                0.74085,                0.48271,                 1.3122,                  1.519,                  2.081,             0.00089134,             0.00089134,             0.00089134
                     49,                  1.354,                 1.4632,                 1.9235,                0.78664,                 0.6721,                0.76588,                0.47012,                  1.377,                 1.5342,                 2.0305,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.4154,                 1.5185,                 1.9479,                0.71624,                0.79167,                0.79554,                0.51485,                 1.2168,                 1.3135,                 1.8683,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.3565,                 1.5152,                 1.9032,                 0.7668,                0.69483,                0.78864,                0.52274,                 1.2627,                 1.5004,                 1.8458,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.3457,                 1.4762,                 1.8843,                0.75007,                0.73611,                0.79473,                0.52132,                 1.2824,                 1.3642,                 1.9299,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.3611,                 1.4996,                 1.9213,                0.78429,                0.68664,                0.75642,                 0.4921,                 1.2345,                  1.341,                 1.9389,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.3082,                 1.4029,                 1.8654,                0.74704,                0.65078,                0.74352,                0.48434,                 1.2707,                 1.4362,                  1.875,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.2955,                 1.4427,                  1.858,                0.88708,                   0.75,                0.83127,                0.54067,                 1.1616,                 1.2832,                 1.8523,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.2702,                 1.4127,                 1.8462,                0.77331,                0.69444,                0.78544,                0.51738,                 1.2336,                 1.3369,                 1.8908,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.3269,                 1.4051,                 1.8467,                0.74151,                0.68056,                0.74453,                0.52941,                 1.1865,                 1.4084,                 1.8658,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.2757,                 1.3971,                 1.8499,                0.89658,                0.76389,                0.85006,                0.57556,                 1.2286,                 1.2831,                 1.9131,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.2826,                 1.3267,                 1.8328,                 0.8545,                0.76389,                0.83123,                0.57094,                 1.1478,                 1.2967,                 1.8414,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.3362,                 1.3996,                 1.8725,                0.79028,                0.73906,                0.76409,                0.51269,                 1.1045,                 1.4459,                 1.8057,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.2612,                 1.3563,                 1.8174,                0.85996,                0.70833,                 0.8038,                0.54394,                 1.1488,                 1.2169,                 1.8042,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.2286,                 1.3612,                 1.7814,                0.82768,                0.73595,                0.84244,                 0.5777,                  1.118,                 1.3579,                 1.7244,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.2645,                 1.3531,                 1.8125,                0.78277,                0.79848,                0.86349,                 0.5992,                 1.0763,                  1.158,                 1.7134,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.1763,                 1.2792,                 1.7486,                0.86504,                0.68631,                0.81139,                0.55226,                  1.168,                 1.4036,                 1.8043,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.1982,                 1.2907,                 1.7541,                 0.8173,                0.74653,                0.83182,                0.59019,                  1.098,                  1.321,                 1.7778,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.2108,                 1.2915,                  1.764,                0.74345,                0.73611,                0.80329,                0.55596,                 1.1636,                 1.2833,                 1.7991,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.2037,                 1.2783,                  1.761,                0.83313,                0.74949,                0.81579,                0.57257,                 1.0818,                 1.2637,                 1.7246,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.2065,                 1.2651,                 1.7407,                0.87964,                0.58333,                0.75293,                0.53399,                  1.142,                  1.509,                  1.821,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.2082,                 1.2362,                 1.7533,                0.82671,                 0.7221,                0.82397,                0.59141,                 1.0325,                 1.3256,                 1.6632,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.1662,                 1.2475,                 1.7191,                0.86562,                0.74142,                0.84728,                0.61676,                 1.0317,                 1.1723,                  1.718,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.2162,                 1.2305,                 1.7757,                0.83217,                0.72732,                0.81099,                0.59649,                  1.031,                 1.3185,                 1.7305,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.2163,                 1.2596,                 1.7663,                0.84769,                0.76335,                0.83723,                0.59859,                 1.0436,                 1.2478,                 1.7216,             0.00049527,             0.00049527,             0.00049527
                     73,                  1.144,                 1.2042,                 1.7141,                 0.8376,                 0.8053,                0.87163,                 0.6286,                 1.0299,                 1.0786,                 1.6939,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.1362,                 1.1757,                 1.6875,                0.86149,                0.78255,                0.87253,                0.63463,                 1.0428,                 1.1957,                 1.6892,             0.00046226,             0.00046226,             0.00046226
                     75,                  1.164,                 1.1953,                 1.7237,                0.80205,                0.76104,                0.84914,                0.62961,                0.96483,                 1.1815,                 1.6345,             0.00044576,             0.00044576,             0.00044576
                     76,                  1.127,                 1.2132,                 1.6737,                0.91478,                0.75987,                0.86318,                0.65398,                0.96309,                 1.1181,                  1.662,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.1071,                 1.1767,                 1.6741,                0.81113,                0.81409,                0.87108,                0.63428,                 1.0568,                 1.2536,                 1.7298,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.1123,                 1.1269,                 1.6847,                0.88214,                0.72869,                0.85507,                0.63314,                 1.0156,                 1.1955,                 1.6449,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.1311,                 1.1409,                 1.7008,                0.76544,                0.77819,                0.81796,                0.61979,                 1.0134,                 1.1247,                 1.6422,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.1032,                 1.1453,                 1.6658,                0.86847,                0.77778,                0.85972,                0.62895,                 1.0141,                  1.145,                 1.6223,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.1182,                 1.2233,                 1.6754,                0.82931,                0.80757,                0.84345,                0.61614,                0.99603,                 1.1848,                 1.6876,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.0514,                 1.1022,                  1.638,                0.84092,                0.80556,                0.86825,                0.65298,                 0.9895,                 1.1096,                 1.6815,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.0456,                 1.0882,                 1.6444,                0.77994,                0.83333,                0.85504,                0.64374,                0.96846,                 1.0832,                 1.6283,             0.00031373,             0.00031373,             0.00031373
