                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.83905,                0.64585,                 1.0987,                0.95955,                 0.8451,                0.95882,                0.82117,                0.61241,                0.63489,                 1.0156,             0.00057778,             0.00057778,             0.00057778
                     35,                0.80452,                0.61895,                 1.0886,                0.88491,                0.89107,                0.95081,                0.80568,                0.62291,                0.61527,                 1.0271,             0.00054478,             0.00054478,             0.00054478
                     36,                0.78988,                0.65363,                 1.0884,                0.94762,                0.83333,                0.94196,                0.80565,                0.59567,                0.63992,                0.97914,             0.00051177,             0.00051177,             0.00051177
                     37,                 0.7897,                0.60879,                 1.0916,                0.96333,                  0.881,                0.95593,                0.82058,                0.56007,                0.65597,                0.97329,             0.00047876,             0.00047876,             0.00047876
                     38,                0.77798,                 0.6123,                 1.0713,                0.93995,                0.92247,                0.97202,                0.86178,                0.55331,                0.58357,                0.96983,             0.00044576,             0.00044576,             0.00044576
                     39,                0.80194,                0.62135,                 1.0824,                0.96534,                0.93056,                0.97391,                0.85554,                0.54343,                0.53061,                0.95443,             0.00041275,             0.00041275,             0.00041275
                     40,                0.58994,                0.44143,                0.95411,                0.91955,                0.90843,                0.96474,                0.81028,                 0.5809,                0.60728,                0.96927,             0.00037974,             0.00037974,             0.00037974
                     41,                0.58069,                0.41788,                0.96059,                0.93039,                0.92798,                0.96776,                0.84712,                0.54519,                0.56531,                0.95107,             0.00034674,             0.00034674,             0.00034674
                     42,                0.55913,                 0.4103,                0.94303,                 0.9564,                0.89902,                0.97008,                0.86422,                0.49398,                0.51988,                 0.9132,             0.00031373,             0.00031373,             0.00031373
                     43,                 0.5443,                0.38527,                0.92226,                 0.9991,                0.86009,                0.97201,                0.87072,                 0.4816,                0.55747,                0.90904,             0.00028072,             0.00028072,             0.00028072
                     44,                0.49206,                0.37165,                 0.9069,                0.96976,                0.88883,                0.97627,                0.87131,                0.50458,                 0.4658,                0.91426,             0.00024772,             0.00024772,             0.00024772
                     45,                0.51138,                0.36004,                0.91516,                0.92001,                 0.9704,                0.97706,                0.87808,                0.50107,                0.51946,                0.91915,             0.00021471,             0.00021471,             0.00021471
                     46,                0.47729,                 0.3498,                0.90695,                0.91329,                0.95132,                0.97681,                0.88314,                0.49276,                 0.5468,                0.92536,              0.0001817,              0.0001817,              0.0001817
                     47,                0.50609,                0.36299,                0.90673,                0.90044,                0.97222,                0.97721,                0.89741,                0.44593,                0.48982,                 0.8991,              0.0001487,              0.0001487,              0.0001487
                     48,                0.46886,                0.33645,                0.88459,                0.93974,                0.94802,                0.98071,                0.90602,                0.43202,                0.42638,                0.87538,             0.00011569,             0.00011569,             0.00011569
                     49,                0.45827,                0.32535,                0.88563,                0.94247,                0.95833,                0.98322,                0.90342,                0.40881,                0.43628,                0.86477,             8.2683e-05,             8.2683e-05,             8.2683e-05
