                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.6161,                 1.5628,                 1.8417,                0.73126,                 0.7557,                0.80135,                0.46829,                 1.5465,                 1.3957,                 1.9319,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.6677,                 1.4962,                 1.8954,                0.67836,                0.56853,                0.68593,                  0.398,                 1.5138,                  1.648,                 1.9491,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.6273,                 1.5461,                 1.8713,                0.60822,                0.75198,                0.70285,                 0.3927,                 1.5305,                 2.1848,                 1.9618,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.6305,                 1.4692,                 1.8717,                 0.8049,                0.74712,                0.81015,                0.46978,                 1.4664,                 1.3625,                  1.909,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.6184,                  1.468,                 1.8004,                 0.8084,                0.76379,                0.83409,                0.51859,                  1.368,                 1.3927,                 1.8152,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.5891,                  1.475,                 1.7922,                0.72022,                0.75287,                0.78682,                0.46056,                 1.4992,                 1.3321,                 1.7977,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.6132,                 1.4885,                 1.8292,                0.79067,                0.75354,                0.80572,                0.49233,                 1.3556,                 1.3847,                  1.734,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.5576,                 1.4192,                 1.7738,                0.74392,                 0.7304,                0.79202,                0.46662,                 1.5273,                 1.3635,                 1.9495,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.5672,                 1.3566,                  1.794,                0.75587,                0.71296,                0.81798,                0.49678,                 1.3536,                 1.4973,                 1.7725,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.5392,                 1.3956,                 1.7528,                0.73109,                0.74139,                0.79252,                0.50186,                 1.3099,                 1.4042,                 1.7247,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.5353,                 1.4163,                 1.7897,                0.88343,                0.66608,                0.80155,                 0.5072,                 1.3607,                 1.3063,                 1.7708,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.5474,                 1.3822,                 1.7756,                0.74221,                 0.6827,                0.80626,                0.53384,                 1.3019,                 1.3608,                 1.7559,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.5189,                 1.3726,                 1.7381,                0.75239,                0.70957,                0.78129,                0.48617,                 1.4405,                 1.3795,                 1.7616,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.5183,                  1.383,                 1.7625,                0.84513,                0.68056,                0.79222,                0.50528,                 1.4302,                 1.4279,                 1.8124,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.5409,                   1.39,                 1.7601,                0.78787,                0.70872,                0.81887,                0.51806,                 1.3575,                 1.2673,                 1.7805,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.4498,                 1.3291,                 1.6906,                0.75962,                  0.729,                0.78865,                0.49841,                 1.3365,                 1.4212,                 1.7624,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.5088,                 1.3146,                 1.7648,                0.79831,                0.77778,                0.86353,                0.52625,                 1.3605,                  1.303,                 1.8336,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.4532,                 1.3385,                 1.6897,                0.89337,                0.68883,                0.81366,                0.48775,                 1.4119,                 1.4128,                 1.7869,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.4889,                 1.3437,                 1.7456,                 0.7747,                0.72222,                0.80821,                 0.4986,                 1.3781,                 1.3371,                 1.8573,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.4112,                 1.3128,                 1.6762,                0.82568,                0.68948,                0.83896,                0.55703,                 1.2983,                 1.2877,                 1.6991,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.4813,                 1.3115,                 1.7201,                0.84733,                0.82019,                0.86337,                0.54064,                 1.3425,                 1.1772,                 1.7938,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.4443,                 1.3107,                 1.6967,                 0.9192,                0.61472,                0.82127,                0.51901,                 1.3394,                 1.4227,                 1.7541,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.4378,                 1.2751,                 1.6885,                0.78202,                0.70833,                0.86276,                0.55346,                 1.2884,                 1.1724,                 1.7094,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.4323,                 1.3198,                  1.688,                0.90921,                0.76009,                0.87398,                0.59959,                 1.1648,                 1.1509,                 1.5717,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.3896,                 1.2556,                 1.6305,                0.80911,                0.77778,                0.83655,                 0.5403,                 1.2583,                 1.2723,                 1.6373,             0.00074282,             0.00074282,             0.00074282
                     58,                  1.402,                 1.2308,                   1.64,                0.79251,                0.80556,                0.84848,                0.57228,                 1.2487,                 1.1665,                 1.6322,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.3854,                 1.2476,                 1.6351,                0.83471,                0.73037,                 0.8561,                0.58724,                 1.2023,                 1.1954,                 1.6341,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.3773,                 1.2839,                 1.6246,                0.83593,                   0.75,                0.86514,                 0.5927,                 1.2076,                 1.2267,                 1.6586,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.3901,                 1.2435,                 1.6195,                0.77189,                 0.8143,                0.86095,                0.57323,                 1.2749,                 1.1826,                  1.662,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.3687,                 1.2049,                  1.646,                0.82144,                0.84539,                0.86413,                0.58466,                 1.2466,                 1.1149,                 1.6247,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.4018,                 1.2299,                 1.6405,                0.82662,                0.76783,                0.86515,                0.59709,                 1.1616,                 1.1601,                 1.6145,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.3833,                 1.2464,                 1.6565,                0.80766,                0.74755,                0.83474,                0.57544,                 1.1687,                 1.2085,                 1.6144,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.3317,                 1.1669,                 1.5952,                0.79898,                0.73611,                0.83421,                0.58914,                  1.164,                 1.1251,                 1.6313,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.3731,                 1.1942,                 1.6314,                 0.8877,                0.72524,                0.83859,                0.58368,                  1.201,                  1.208,                 1.6299,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.3715,                   1.21,                 1.6222,                 0.8705,                0.71788,                0.86026,                0.59649,                 1.1398,                 1.2516,                 1.5886,             0.00057778,             0.00057778,             0.00057778
                     68,                  1.339,                  1.168,                 1.5836,                 0.8677,                0.73737,                0.84496,                0.59879,                 1.1454,                 1.2359,                 1.5637,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.3178,                 1.1862,                 1.6042,                0.78057,                0.80556,                0.86123,                 0.5888,                 1.2069,                 1.1425,                 1.5918,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.3678,                 1.1598,                 1.5832,                0.89135,                0.72102,                0.83423,                0.57998,                  1.152,                 1.1788,                 1.6033,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.2911,                 1.1441,                 1.5752,                0.79624,                0.75451,                0.84269,                0.58109,                 1.1331,                 1.2043,                  1.597,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.3141,                 1.1457,                 1.5621,                0.87046,                0.76634,                 0.8823,                0.63925,                 1.1572,                 1.1315,                 1.5621,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.3024,                  1.129,                 1.5745,                0.93991,                 0.7771,                0.91171,                0.63437,                 1.2374,                 1.0712,                 1.5802,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.2998,                 1.1462,                 1.5668,                0.82819,                0.84356,                0.87616,                0.62793,                 1.1037,                 1.1769,                 1.4929,             0.00046226,             0.00046226,             0.00046226
                     75,                  1.312,                 1.1522,                 1.5931,                0.82037,                0.84722,                0.88463,                0.59111,                 1.1506,                 1.1685,                 1.5562,             0.00044576,             0.00044576,             0.00044576
                     76,                  1.282,                 1.1145,                 1.5715,                0.76466,                0.86111,                0.89585,                0.61741,                 1.1345,                 1.1301,                 1.5267,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.2958,                  1.095,                  1.551,                0.84199,                0.80889,                0.87838,                0.62773,                  1.169,                 1.1818,                 1.5456,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.2896,                 1.1535,                 1.5602,                 0.8059,                0.83804,                0.88448,                 0.6109,                 1.1591,                  1.158,                 1.5558,             0.00039625,             0.00039625,             0.00039625
                     79,                  1.259,                 1.0992,                 1.5422,                0.74741,                0.83584,                0.86041,                0.58554,                 1.2204,                 1.2782,                 1.6267,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.2749,                 1.0891,                   1.58,                0.77769,                0.81624,                0.86846,                 0.6123,                 1.1313,                 1.2135,                  1.596,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.2546,                 1.1237,                 1.5617,                0.87729,                0.83333,                0.89757,                0.63873,                 1.1196,                 1.1283,                 1.5286,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.2589,                 1.1224,                 1.5615,                 0.8717,                0.78685,                0.89367,                0.63073,                 1.0892,                 1.1307,                 1.5245,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.2689,                 1.0859,                 1.5592,                0.84511,                0.84077,                0.91038,                0.64886,                  1.133,                 1.0713,                 1.5387,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.2536,                 1.0587,                 1.5317,                0.79784,                0.86111,                0.90409,                0.64966,                 1.0903,                 1.0946,                  1.486,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.2113,                 1.0488,                 1.4855,                0.85907,                0.83079,                0.90894,                 0.6565,                 1.1102,                 1.0823,                 1.4944,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.2374,                 1.0453,                 1.5189,                0.85195,                 0.8454,                0.91086,                   0.66,                 1.0837,                 1.0608,                 1.5037,             0.00026422,             0.00026422,             0.00026422
                     87,                  1.216,                 1.0495,                 1.5111,                0.88393,                0.80018,                0.89558,                0.62671,                  1.102,                 1.0787,                 1.5121,             0.00024772,             0.00024772,             0.00024772
                     88,                 1.2237,                 1.0548,                  1.526,                0.90571,                 0.8001,                0.90055,                 0.6388,                 1.1283,                  1.057,                 1.5394,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.2011,                 1.0547,                 1.4986,                0.84298,                0.83634,                0.90565,                0.65692,                 1.0693,                 1.1028,                 1.4888,             0.00021471,             0.00021471,             0.00021471
                     90,                 1.0149,                0.97625,                 1.3963,                0.77839,                0.85671,                0.90097,                0.65107,                 1.0753,                 1.2034,                 1.4493,             0.00019821,             0.00019821,             0.00019821
                     91,                0.99178,                0.87334,                 1.3687,                0.88942,                0.78695,                 0.8897,                0.64512,                 1.0618,                 1.1555,                 1.4783,              0.0001817,              0.0001817,              0.0001817
                     92,                0.98949,                0.85138,                  1.371,                0.85681,                0.80556,                0.90231,                 0.6533,                 1.1325,                 1.1631,                 1.5659,              0.0001652,              0.0001652,              0.0001652
                     93,                 0.9787,                0.80359,                  1.347,                0.84036,                0.81944,                0.90203,                 0.6423,                 1.1135,                 1.1319,                 1.5701,              0.0001487,              0.0001487,              0.0001487
                     94,                0.96088,                0.79899,                 1.3379,                  0.934,                0.76389,                 0.8987,                0.64933,                 1.0493,                 1.0889,                 1.4991,             0.00013219,             0.00013219,             0.00013219
                     95,                0.96783,                0.80677,                 1.3315,                0.93599,                0.76797,                0.89807,                0.65688,                 1.0363,                  1.056,                 1.4969,             0.00011569,             0.00011569,             0.00011569
                     96,                0.94578,                0.79021,                 1.3323,                0.91817,                0.80244,                0.90096,                0.65114,                 1.0451,                 1.0532,                 1.5168,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.93371,                0.75859,                 1.3158,                0.92063,                0.81695,                0.91076,                0.65316,                 1.0744,                 1.0687,                 1.5378,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.94715,                0.77645,                 1.3293,                0.92054,                0.81588,                0.91507,                0.66574,                 1.0724,                  1.026,                 1.5257,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 0.9372,                0.75805,                 1.3091,                0.89545,                0.83333,                0.91507,                0.67298,                 1.0942,                 1.0155,                  1.559,             4.9677e-05,             4.9677e-05,             4.9677e-05
